Year,Cod_avg,Haddock_avg,Cod_Import_Vol,Cod_Import_Val,Haddock_Import_Vol,Haddock_Import_Val,Haddock_Export_Vol,Haddock_Export_Val,Cod_Export_Vol,Cod_Export_Val,consumption,Inflation Rate,Maine Temp,Mass Temp,Maine Unemployment,MASS Unemployment,ME Pop,MA Pop,Cod_Auction,Haddock_Auction,Mass PI,Maine PI
1990,0.61,1.11,31369842,137891893,10612847,55582304,37793,74746,4607190,9662435,15.1,5.4,42.4,49.7,7.8,8.9,1.23,6.01,0.67,1.22,23115,17748
1991,0.74,1.18,34917718,181369092,10065579,58883473,7201,12710,8122687,18200230,15.2,4.23,41.7,49.6,7.3,8.8,1.23,5.9,0.81,1.3,23510,17995
1992,0.75,1.12,31746392,155759094,9334015,51940773,63147,125753,3757839,9061061,14.5,3.03,39.8,46.4,6.8,7.3,1.23,5.9,0.83,1.23,24613,18809
1993,0.79,1.31,36655659,159493698,12912183,63943721,36890,96665,2532606,4819825,15.3,2.95,40,47.3,6.6,6.2,1.23,6.01,0.87,1.44,25448,19364
1994,0.82,1.4,41806696,179659403,20956308,87610636,127207,217434,2365874,4531412,15.9,2.61,40.4,47.7,5.9,5.5,1.23,6.03,0.9,1.54,26579,20148
1995,1.07,1.33,40490961,184927292,19769118,74513353,51481,107597,4855787,10468282,16,2.81,40.9,47.8,5.3,4.6,1.23,6.06,1.18,1.46,27928,21009
1996,0.78,1.17,34632990,153526670,19911933,73885305,81939,117414,6052955,12506817,16,2.93,41,47.3,5.2,4.1,1.24,6.08,0.86,1.29,29490,22079
1997,0.74,1.07,42712729,190325334,22702150,81328376,163577,278416,4215028,8082330,15.6,2.34,39.8,47.4,4.5,3.4,1.24,6.11,0.81,1.18,31026,23260
1998,0.9,1.19,36701742,192905719,17948538,80136225,218915,403751,4272552,9267415,15.8,1.55,43.5,50.4,4,3.3,1.24,6.14,0.99,1.31,32767,24830
1999,1.01,1.26,38237428,219664091,17299348,88682070,115456,251015,3480948,9103275,17.2,2.19,43.8,49.8,3.3,2.8,1.25,6.17,1.11,1.39,34767,25793
2000,1.05,1.27,31800998,181743391,13581795,72560457,74551,177688,2941994,7089481,16.8,3.38,40.9,47.5,3.8,3.8,1.27,6.36,1.16,1.4,38381,27478
2001,0.96,1.13,26209549,143549281,10939263,58493883,64987,112101,3064787,7372265,16.5,2.83,42.7,49.1,4.5,5.2,1.28,6.39,1.06,1.24,39711,28821
2002,1.06,1.2,28254723,161473758,13827850,71172281,42728,76304,2313956,5267587,17.5,1.59,41.7,49.3,5.2,5.7,1.29,6.41,1.17,1.32,39419,29546
2003,1.15,1.18,22475066,134526621,12927981,62043545,12357,21545,3002216,6654074,18.3,2.27,40.5,47.1,4.7,5.1,1.3,6.42,1.23,1.45,40158,30740
2004,1.22,0.97,19600155,118613449,15853311,69440343,233275,493338,1935434,5012821,17.6,2.68,40.4,47.6,4.9,4.8,1.31,6.41,1.15,1.44,42242,32096
2005,1.43,1.23,13191228,93618700,15752871,79225335,128842,290164,1942302,5415366,18.2,3.39,41.8,48.4,4.7,4.7,1.31,6.4,1.22,1.45,44061,32684
2006,1.62,1.47,11417522,82338817,16460728,94641357,70904,219306,721127,2172936,18.4,3.23,44,50.1,4.7,4.5,1.32,6.41,1.57,1.95,47311,34168
2007,1.69,1.62,7162966,55863704,15127340,95485845,34902,82299,1323506,4660359,18.4,2.85,40.7,48.3,5.4,5.3,1.32,6.43,1.69,2.39,49662,35402
2008,1.87,1.39,5727927,48273470,10643882,67853211,29933,75099,1095498,3491366,17.6,3.84,41.6,48.6,8.4,8.1,1.33,6.46,1.49,2.02,51546,36960
2009,1.41,1.18,7589557,46159227,10897280,53552724,78515,171829,1513388,3961886,17.4,-0.36,40.9,47.7,8.4,8.1,1.33,6.51,1.11,2.1,50751,37107
2010,1.69,1.17,7622814,50895933,11329585,62795888,224334,393870,1660596,2682141,16.8,1.64,44.6,50.4,7.7,7.2,1.32,6.51,1.43,1.65,52708,38018
2011,1.86,1.57,8029841,59629692,14595809,77160830,336236,733056,888636,2013064,17.3,3.16,42.8,49.7,7.2,6.7,1.32,6.61,1.65,2.58,54764,39503
2012,2.25,1.73,10525950,83982611,17881098,91109159,227728,739163,614056,1620036,17.7,2.07,43.9,51.3,6.7,6.6,1.32,6.66,2.32,3.14,56269,39993
2013,2.29,1.96,15801230,109617485,15509954,90485351,165212,584947,1492544,3872752,17.8,1.46,42,48.8,5.6,5.7,1.32,6.71,1.94,3.04,56130,39952
2014,2.12,1.51,14212377,109409779,11056406,80139799,541447,1202114,814116,2169636,17.9,1.62,41.2,47.7,4.4,4.8,1.33,6.76,1.68,2.47,58141,41140
2015,2,1.14,15181157,121322186,10306248,67806127,253820,666125,649806,2187347,18.3,0.12,41.2,48.5,3.8,4,1.32,6.79,1.31,2.29,61548,42943
2016,1.95,1.34,16758370,142969077,11553192,65565933,323070,700309,1196961,4169003,18.8,1.26,43.3,50.3,3.4,3.8,1.33,6.82,1.87,2.58,63487,44238
2017,2.42,1.21,16131472,142809650,12636813,73461822,142816,520998,636606,2504123,19,2.13,42.4,49.6,3.2,3.5,1.33,6.86,2,2.75,66076,45909
2018,2.23,1.03,20112000,194000283,14160948,90231949,106103,456249,403961,1712569,19,2.44,41.8,49.5,2.9,3,1.34,6.88,1.36,2.25,69195,47732
2019,2.44,1.11,19437503,202255254,10905805,79464282,33845,169789,552737,1861863,19.1,1.81,40.7,48.5,5.1,9.4,1.34,6.89,2.01,2.29,72359,49976
2020,2.25,1.07,20281118,203757613,10658783,80423985,243078,1415863,654210,2114166,19.3,1.23,43.5,50.9,4.7,5.4,1.36,6.99,1.83,2.15,77371,54263
2021,2.37,1.46,24018304,244195144,10923499,88057173,97385,397453,486371,1528834,20.5,4.7,44.2,50.8,2.9,3.7,1.37,6.99,1.81,2.33,83434,58621
2022,2.44,1.8,23166489,253282598,13503946,114701100,10570,50000,875328,2348727,20.8,8,43.4,50.3,2.8,3.3,1.38,6.98,2.05,2.67,84551,60425
